"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4138",2015-09-21,2015-09-21 15:15:00,"1","0126","Technical Malfunctioning","måndag",10.9,1.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4139",2015-09-21,2015-09-21 17:22:00,"1","0180","Technical Malfunctioning","måndag",11.7,2.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4140",2015-09-22,2015-09-22 14:41:00,"1","0115","Technical Malfunctioning","tisdag",11.5,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4141",2015-09-23,2015-09-23 19:14:00,"1","0139","Arson","onsdag",13.1,2.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4142",2015-09-23,2015-09-23 19:55:00,"1","0180","Arson","onsdag",13.6,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4143",2015-09-24,2015-09-24 16:18:00,"1","0162","Other Reason","torsdag",13.2,4.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4144",2015-09-24,2015-09-24 23:11:00,"1","0180","Other Reason","torsdag",13.4,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4145",2015-09-25,2015-09-25 12:42:00,"0","0117","Other Reason","fredag",13.2,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4146",2015-09-25,2015-09-25 20:16:00,"1","0123","Technical Malfunctioning","fredag",12.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4147",2015-09-25,2015-09-25 22:27:00,"0","0180","Technical Malfunctioning","fredag",13.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4148",2015-09-26,2015-09-26 20:58:00,"1","0117","Technical Malfunctioning","lördag",10.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
